d,k,p,dataset,type,recall,precision,f-score
300,500,18,msr,test,0.763,0.693,0.726
300,500,18,pku,train,0,0,0
300,500,18,pku,test,0.755,0.718,0.736
300,100,18,as,train,0,0,0
300,100,18,as,test,0.616,0.572,0.594
300,100,18,cityu,train,0,0,0
300,100,18,cityu,test,0.622,0.570,0.595
300,100,18,msr,train,0,0,0
300,100,18,msr,test,0.613,0.534,0.571
300,100,18,pku,train,0,0,0
300,100,18,pku,test,0.642,0.592,0.616
300,50,18,as,train,0,0,0
300,50,18,as,test,0.611,0.565,0.587
300,50,18,cityu,train,0,0,0
300,50,18,cityu,test,0.591,0.539,0.564
300,50,18,msr,train,0,0,0
300,50,18,msr,test,0.596,0.516,0.553
300,50,18,pku,train,0,0,0
300,50,18,pku,test,0.581,0.529,0.554
300,10,18,as,train,0,0,0
300,10,18,as,test,0.610,0.565,0.586
300,10,18,cityu,train,0,0,0
300,10,18,cityu,test,0.573,0.525,0.548
300,10,18,msr,train,0,0,0
300,10,18,msr,test,0.583,0.502,0.540
300,10,18,pku,train,0,0,0
300,10,18,pku,test,0.577,0.526,0.550
300,5000,20,as,train,0,0,0
300,5000,20,as,test,0.761,0.731,0.746
300,5000,20,cityu,train,0,0,0
300,5000,20,cityu,test,0.749,0.701,0.724
300,5000,20,msr,train,0,0,0
300,5000,20,msr,test,0.795,0.722,0.757
300,5000,20,pku,train,0,0,0
300,5000,20,pku,test,0.778,0.741,0.759
300,2000,20,as,train,0,0,0
300,2000,20,as,test,0.764,0.737,0.750
300,2000,20,cityu,train,0,0,0
300,2000,20,cityu,test,0.748,0.703,0.725
300,2000,20,msr,train,0,0,0
300,2000,20,msr,test,0.795,0.725,0.758
300,2000,20,pku,train,0,0,0
300,2000,20,pku,test,0.777,0.739,0.758
300,1500,20,as,train,0,0,0
300,1500,20,as,test,0.765,0.739,0.751
300,1500,20,cityu,train,0,0,0
300,1500,20,cityu,test,0.748,0.707,0.727
300,1500,20,msr,train,0,0,0
300,1500,20,msr,test,0.794,0.724,0.757
300,1500,20,pku,train,0,0,0
300,1500,20,pku,test,0.775,0.740,0.757
300,1000,20,as,train,0,0,0
300,1000,20,as,test,0.759,0.730,0.744
300,1000,20,cityu,train,0,0,0
300,1000,20,cityu,test,0.747,0.704,0.725
300,1000,20,msr,train,0,0,0
300,1000,20,msr,test,0.789,0.720,0.753
300,1000,20,pku,train,0,0,0
300,1000,20,pku,test,0.771,0.735,0.753
300,500,20,as,train,0,0,0
300,500,20,as,test,0.727,0.691,0.708
300,500,20,cityu,train,0,0,0
